"Weather";"Road_Type";"Time_of_Day";"Traffic_Density";"Speed_Limit";"Number_of_Vehicles";"Driver_Alcohol";"Accident_Severity";"Road_Condition";"Vehicle_Type";"Driver_Age";"Driver_Experience";"Road_Light_Condition";"Accident"
"Foggy";"Mountain Road";"Evening";"2.0";50.0;2.0;0.0;"High";"Icy";"Truck";21.0;18.0;"No Light";0.0
"Clear";"Mountain Road";"Afternoon";"0.0";60.0;1.0;0.0;"Low";"Dry";"Bus";65.0;57.0;"Artificial Light";0.0
"Snowy";"Mountain Road";"Morning";"0.0";50.0;4.0;0.0;"Low";"Icy";"Car";55.0;52.0;"No Light";0.0
"Clear";"Mountain Road";"Afternoon";"1.0";100.0;2.0;0.0;"Low";"Dry";"Unknown";28.0;26.0;"Artificial Light";1.0
"Snowy";"Highway";"Afternoon";"2.0";50.0;5.0;0.0;"Low";"Under Construction";"Motorcycle";30.0;21.0;"Artificial Light";0.0
"Clear";"Highway";"Night";"2.0";60.0;2.0;1.0;"Low";"Dry";"Bus";65.0;57.0;"Artificial Light";1.0
"Rainy";"Highway";"Afternoon";"2.0";80.0;3.0;1.0;"Low";"Dry";"Motorcycle";62.0;60.0;"Daylight";1.0
"Clear";"Highway";"Afternoon";"1.0";50.0;3.0;0.0;"Moderate";"Dry";"Car";24.0;22.0;"Artificial Light";0.0
"Foggy";"City Road";"Morning";"1.0";30.0;4.0;0.0;"Unspecified";"Icy";"Car";68.0;61.0;"Daylight";0.0
"Clear";"City Road";"Evening";"1.0";80.0;2.0;0.0;"Low";"Dry";"Unknown";19.0;13.0;"Artificial Light";0.0
"Rainy";"City Road";"Afternoon";"1.0";30.0;5.0;1.0;"Moderate";"Icy";"Car";54.0;53.0;"Artificial Light";0.0
"Rainy";"City Road";"Afternoon";"1.0";178.0;12.0;0.0;"Moderate";"Wet";"Car";67.0;59.0;"Daylight";1.0
"Rainy";"Highway";"Afternoon";"0.0";60.0;1.0;0.0;"Low";"Under Construction";"Car";34.0;30.0;"Daylight";0.0
"Clear";"City Road";"Afternoon";"1.0";100.0;5.0;0.0;"Moderate";"Icy";"Car";34.0;26.0;"Artificial Light";0.0
"Rainy";"City Road";"Afternoon";"1.0";60.0;2.0;0.0;"High";"Dry";"Motorcycle";21.0;19.0;"Daylight";0.0
"Snowy";"Rural Road";"Afternoon";"1.0";60.0;1.0;0.0;"High";"Dry";"Car";43.0;42.0;"Artificial Light";1.0
"Rainy";"Not Determined";"Morning";"2.0";30.0;2.0;0.0;"Low";"Icy";"Car";52.0;51.0;"Daylight";0.0
"Snowy";"Rural Road";"Evening";"1.0";50.0;5.0;0.0;"Low";"Wet";"Motorcycle";64.0;56.0;"No Light";0.0
"Clear";"Rural Road";"Afternoon";"1.0";60.0;1.0;0.0;"Low";"Icy";"Car";60.0;56.0;"Daylight";0.0
"Clear";"City Road";"Morning";"0.0";80.0;1.0;0.0;"Low";"Wet";"Motorcycle";50.0;42.0;"No Light";0.0
"Clear";"City Road";"Morning";"1.0";60.0;3.0;0.0;"Low";"Wet";"Car";32.0;27.0;"Daylight";0.0
"Unknown";"Not Determined";"Unknown";"1.0";208.0;11.0;0.0;"Low";"Icy";"Motorcycle";52.0;50.0;"Artificial Light";0.0
"Clear";"City Road";"Afternoon";"2.0";50.0;5.0;1.0;"Low";"Dry";"Car";36.0;33.0;"Daylight";1.0
"Clear";"City Road";"Morning";"0.0";80.0;1.0;0.0;"Moderate";"Dry";"Motorcycle";36.0;36.0;"Artificial Light";1.0
"Clear";"Highway";"Afternoon";"1.0";50.0;5.0;0.0;"Moderate";"Dry";"Car";27.0;20.0;"Artificial Light";1.0
"Snowy";"City Road";"Night";"0.0";60.0;3.0;0.0;"Moderate";"Dry";"Car";45.0;43.0;"Daylight";0.0
"Unknown";"Rural Road";"Night";"1.0";80.0;4.0;0.0;"Low";"Wet";"Car";68.0;67.0;"Daylight";0.0
"Rainy";"Highway";"Morning";"0.0";60.0;4.0;0.0;"Moderate";"Dry";"Car";69.0;69.0;"No Light";1.0
"Clear";"City Road";"Unknown";"0.0";50.0;1.0;0.0;"Moderate";"Under Construction";"Car";43.0;40.0;"Artificial Light";0.0
"Snowy";"City Road";"Night";"1.0";100.0;3.0;0.0;"High";"Dry";"Bus";33.0;25.0;"Artificial Light";0.0
"Clear";"Highway";"Evening";"0.0";120.0;5.0;0.0;"Moderate";"Under Construction";"Truck";53.0;53.0;"Unknown";0.0
"Clear";"City Road";"Morning";"2.0";50.0;1.0;0.0;"Low";"Dry";"Car";62.0;53.0;"Artificial Light";1.0
"Clear";"Highway";"Afternoon";"2.0";50.0;1.0;0.0;"Low";"Under Construction";"Truck";60.0;52.0;"Artificial Light";0.0
"Clear";"Highway";"Afternoon";"2.0";60.0;4.0;0.0;"Low";"Wet";"Car";62.0;61.0;"Unknown";0.0
"Foggy";"City Road";"Afternoon";"0.0";100.0;4.0;0.0;"High";"Dry";"Truck";63.0;62.0;"Artificial Light";1.0
"Snowy";"Highway";"Afternoon";"2.0";50.0;5.0;0.0;"Low";"Icy";"Truck";58.0;55.0;"Daylight";0.0
"Snowy";"Highway";"Unknown";"0";60.0;4.0;0.0;"Unspecified";"Dry";"Truck";48.0;44.0;"No Light";1.0
"Rainy";"Rural Road";"Afternoon";"0.0";80.0;2.0;0.0;"Low";"Dry";"Car";45.0;39.0;"Artificial Light";0.0
"Clear";"Rural Road";"Evening";"2.0";80.0;2.0;0.0;"Unspecified";"Dry";"Car";35.0;31.0;"Daylight";0.0
"Unknown";"Highway";"Evening";"2.0";50.0;3.0;0.0;"Low";"Wet";"Car";64.0;55.0;"No Light";0.0
"Stormy";"City Road";"Evening";"2.0";60.0;2.0;1.0;"High";"Dry";"Truck";65.0;57.0;"Daylight";0.0
"Clear";"City Road";"Evening";"1.0";30.0;4.0;1.0;"Moderate";"Dry";"Car";42.0;36.0;"Artificial Light";0.0
"Clear";"Rural Road";"Morning";"0.0";60.0;2.0;0.0;"Low";"Icy";"Car";68.0;61.0;"No Light";0.0
"Unknown";"Highway";"Morning";"1.0";80.0;3.0;0.0;"Low";"Dry";"Car";30.0;27.0;"Daylight";1.0
"Rainy";"Highway";"Morning";"1.0";80.0;1.0;1.0;"Low";"Wet";"Car";47.0;39.0;"Daylight";0.0
"Snowy";"Rural Road";"Evening";"0.0";80.0;1.0;0.0;"Unspecified";"Dry";"Car";58.0;52.0;"Daylight";0.0
"Rainy";"Highway";"Morning";"0";30.0;2.0;0.0;"High";"Under Construction";"Car";44.0;43.0;"Daylight";1.0
"Clear";"Highway";"Evening";"2.0";80.0;1.0;0.0;"Low";"Not Determind";"Unknown";48.0;44.0;"No Light";1.0
"Clear";"Highway";"Evening";"1.0";100.0;2.0;0.0;"Moderate";"Dry";"Unknown";68.0;60.0;"Artificial Light";0.0
"Rainy";"City Road";"Morning";"1.0";100.0;1.0;0.0;"Low";"Wet";"Car";18.0;10.0;"Artificial Light";0.0
"Clear";"Rural Road";"Night";"1.0";50.0;2.0;1.0;"Low";"Dry";"Car";27.0;26.0;"Artificial Light";1.0
"Rainy";"Highway";"Evening";"0";100.0;3.0;0.0;"Low";"Not Determind";"Car";41.0;33.0;"Artificial Light";1.0
"Rainy";"Highway";"Morning";"1.0";60.0;1.0;0.0;"Low";"Dry";"Car";32.0;29.0;"Daylight";0.0
"Clear";"Highway";"Unknown";"1.0";50.0;2.0;0.0;"Unspecified";"Dry";"Car";28.0;19.0;"Daylight";1.0
"Clear";"City Road";"Afternoon";"0.0";213.0;11.0;0.0;"Low";"Dry";"Motorcycle";65.0;56.0;"Daylight";1.0
"Rainy";"Rural Road";"Evening";"2.0";50.0;4.0;0.0;"Low";"Dry";"Car";46.0;42.0;"Artificial Light";0.0
"Clear";"Not Determined";"Morning";"2.0";60.0;2.0;0.0;"Low";"Icy";"Car";28.0;22.0;"Artificial Light";1.0
"Rainy";"Highway";"Evening";"0.0";60.0;3.0;0.0;"Low";"Wet";"Car";65.0;59.0;"Artificial Light";0.0
"Rainy";"Highway";"Evening";"1.0";30.0;1.0;0.0;"Low";"Dry";"Car";25.0;18.0;"Daylight";0.0
"Clear";"Not Determined";"Morning";"0.0";30.0;3.0;0.0;"Low";"Dry";"Car";21.0;13.0;"No Light";1.0
"Rainy";"Highway";"Evening";"2.0";30.0;2.0;1.0;"Low";"Wet";"Car";69.0;63.0;"Daylight";0.0
"Rainy";"Highway";"Night";"0.0";120.0;3.0;0.0;"Moderate";"Dry";"Motorcycle";20.0;19.0;"Unknown";0.0
"Rainy";"Highway";"Night";"0";120.0;5.0;0.0;"Moderate";"Under Construction";"Car";64.0;58.0;"Artificial Light";0.0
"Clear";"Highway";"Evening";"2.0";80.0;2.0;0.0;"Moderate";"Dry";"Car";52.0;45.0;"Daylight";0.0
"Clear";"Rural Road";"Evening";"1.0";60.0;5.0;0.0;"Moderate";"Dry";"Truck";37.0;33.0;"Daylight";1.0
"Foggy";"Highway";"Evening";"0.0";60.0;2.0;0.0;"Moderate";"Dry";"Unknown";62.0;53.0;"Artificial Light";0.0
"Clear";"Rural Road";"Afternoon";"1.0";50.0;1.0;0.0;"Low";"Dry";"Car";29.0;22.0;"No Light";1.0
"Rainy";"City Road";"Afternoon";"2.0";60.0;3.0;0.0;"Low";"Dry";"Car";37.0;30.0;"Artificial Light";0.0
"Rainy";"Highway";"Afternoon";"0.0";80.0;4.0;0.0;"High";"Dry";"Car";42.0;34.0;"Unknown";1.0
"Clear";"Not Determined";"Morning";"1.0";100.0;5.0;0.0;"Low";"Wet";"Truck";69.0;61.0;"Daylight";0.0
"Clear";"City Road";"Afternoon";"0";50.0;4.0;0.0;"Moderate";"Dry";"Car";49.0;47.0;"Daylight";0.0
"Clear";"Highway";"Morning";"0.0";60.0;4.0;1.0;"High";"Wet";"Truck";36.0;27.0;"Daylight";0.0
"Snowy";"Highway";"Night";"0.0";50.0;2.0;1.0;"Unspecified";"Dry";"Car";60.0;54.0;"Artificial Light";0.0
"Clear";"Highway";"Night";"0.0";60.0;5.0;0.0;"Moderate";"Dry";"Truck";36.0;31.0;"Daylight";1.0
"Clear";"Highway";"Evening";"0.0";60.0;2.0;1.0;"Low";"Wet";"Unknown";52.0;50.0;"Daylight";0.0
"Clear";"City Road";"Morning";"2.0";30.0;3.0;0.0;"High";"Dry";"Car";47.0;38.0;"Artificial Light";0.0
"Clear";"Rural Road";"Afternoon";"2.0";30.0;1.0;0.0;"Low";"Wet";"Truck";53.0;50.0;"Daylight";1.0
"Clear";"City Road";"Afternoon";"0";60.0;1.0;1.0;"High";"Icy";"Bus";41.0;35.0;"Daylight";1.0
"Clear";"Highway";"Morning";"2.0";60.0;3.0;0.0;"Moderate";"Dry";"Motorcycle";56.0;51.0;"Artificial Light";0.0
"Clear";"Not Determined";"Afternoon";"1.0";60.0;5.0;0.0;"Low";"Dry";"Car";50.0;41.0;"Artificial Light";0.0
"Rainy";"Highway";"Evening";"2.0";80.0;2.0;0.0;"High";"Dry";"Motorcycle";52.0;46.0;"Daylight";0.0
"Clear";"City Road";"Unknown";"2.0";50.0;2.0;0.0;"Low";"Icy";"Car";34.0;26.0;"Artificial Light";0.0
"Rainy";"Highway";"Afternoon";"1.0";60.0;2.0;0.0;"Low";"Dry";"Car";35.0;27.0;"Daylight";0.0
"Rainy";"Highway";"Evening";"2.0";60.0;3.0;0.0;"Low";"Under Construction";"Car";46.0;41.0;"Unknown";0.0
"Stormy";"City Road";"Evening";"0.0";190.0;14.0;1.0;"High";"Dry";"Car";69.0;62.0;"Artificial Light";1.0
"Foggy";"City Road";"Morning";"0";60.0;4.0;0.0;"Low";"Wet";"Car";51.0;43.0;"Daylight";1.0
"Snowy";"Not Determined";"Afternoon";"0.0";80.0;5.0;0.0;"Low";"Wet";"Car";45.0;41.0;"Artificial Light";1.0
"Clear";"Highway";"Afternoon";"0.0";60.0;4.0;0.0;"High";"Icy";"Car";19.0;15.0;"Artificial Light";0.0
"Rainy";"City Road";"Night";"2.0";100.0;3.0;0.0;"Moderate";"Under Construction";"Car";44.0;37.0;"Daylight";0.0
"Rainy";"Highway";"Evening";"1.0";196.0;11.0;0.0;"Moderate";"Icy";"Car";38.0;32.0;"Daylight";0.0
"Clear";"City Road";"Unknown";"2.0";60.0;1.0;1.0;"Moderate";"Dry";"Car";34.0;31.0;"Artificial Light";1.0
"Clear";"Highway";"Night";"0.0";60.0;1.0;0.0;"Low";"Icy";"Car";31.0;22.0;"Artificial Light";0.0
"Rainy";"City Road";"Evening";"1.0";80.0;1.0;0.0;"Low";"Wet";"Car";33.0;33.0;"Daylight";0.0
"Clear";"Highway";"Morning";"0.0";100.0;4.0;0.0;"Low";"Icy";"Unknown";50.0;50.0;"Daylight";0.0
"Stormy";"Rural Road";"Evening";"1.0";80.0;2.0;0.0;"Low";"Icy";"Car";21.0;14.0;"Unknown";1.0
"Clear";"Rural Road";"Afternoon";"1.0";50.0;3.0;0.0;"Low";"Dry";"Motorcycle";35.0;34.0;"Artificial Light";0.0
"Clear";"Highway";"Morning";"1.0";80.0;1.0;0.0;"Moderate";"Icy";"Car";45.0;36.0;"No Light";0.0
"Rainy";"City Road";"Morning";"0";30.0;4.0;1.0;"Low";"Dry";"Car";69.0;62.0;"Daylight";1.0
"Foggy";"Highway";"Afternoon";"0.0";50.0;2.0;0.0;"Low";"Dry";"Car";69.0;63.0;"Daylight";0.0
"Snowy";"City Road";"Afternoon";"1.0";50.0;3.0;0.0;"Low";"Not Determind";"Car";56.0;54.0;"No Light";0.0
"Foggy";"City Road";"Night";"0.0";188.0;10.0;1.0;"Low";"Icy";"Car";33.0;27.0;"Artificial Light";0.0
"Clear";"Highway";"Night";"2.0";80.0;1.0;0.0;"High";"Icy";"Car";46.0;41.0;"Daylight";0.0
"Clear";"Highway";"Evening";"2.0";100.0;4.0;0.0;"Moderate";"Icy";"Truck";52.0;43.0;"Daylight";0.0
"Clear";"Highway";"Morning";"1.0";100.0;4.0;0.0;"Moderate";"Dry";"Motorcycle";62.0;57.0;"Artificial Light";1.0
"Rainy";"City Road";"Morning";"1.0";50.0;4.0;0.0;"Low";"Dry";"Car";36.0;33.0;"Artificial Light";0.0
"Rainy";"City Road";"Afternoon";"2.0";30.0;2.0;0.0;"Low";"Under Construction";"Motorcycle";68.0;66.0;"Daylight";0.0
"Foggy";"City Road";"Afternoon";"2.0";30.0;3.0;0.0;"Low";"Dry";"Car";62.0;59.0;"Daylight";0.0
"Rainy";"Highway";"Afternoon";"2.0";100.0;3.0;0.0;"High";"Wet";"Car";43.0;38.0;"Artificial Light";0.0
"Clear";"Highway";"Morning";"1.0";60.0;5.0;0.0;"Low";"Wet";"Truck";63.0;60.0;"Artificial Light";0.0
"Stormy";"Highway";"Evening";"1.0";195.0;14.0;0.0;"Moderate";"Dry";"Car";46.0;38.0;"No Light";0.0
"Rainy";"City Road";"Unknown";"2.0";100.0;1.0;1.0;"Low";"Dry";"Motorcycle";48.0;46.0;"Artificial Light";0.0
"Rainy";"Rural Road";"Afternoon";"2.0";80.0;3.0;0.0;"Unspecified";"Dry";"Truck";33.0;33.0;"Daylight";0.0
"Clear";"City Road";"Afternoon";"1.0";80.0;1.0;1.0;"Low";"Dry";"Car";37.0;31.0;"Artificial Light";0.0
"Foggy";"Highway";"Evening";"2.0";60.0;1.0;0.0;"Low";"Dry";"Car";43.0;43.0;"Daylight";0.0
"Clear";"Highway";"Afternoon";"2.0";100.0;4.0;0.0;"Low";"Under Construction";"Truck";27.0;26.0;"Daylight";0.0
"Snowy";"Mountain Road";"Night";"0.0";50.0;5.0;0.0;"Unspecified";"Not Determind";"Car";32.0;31.0;"Daylight";0.0
"Clear";"Highway";"Afternoon";"1.0";80.0;5.0;0.0;"Low";"Icy";"Car";29.0;28.0;"Artificial Light";0.0
"Rainy";"Rural Road";"Morning";"0.0";100.0;4.0;0.0;"Low";"Not Determind";"Car";41.0;41.0;"Artificial Light";0.0
"Rainy";"City Road";"Morning";"2.0";80.0;1.0;0.0;"Low";"Under Construction";"Car";46.0;43.0;"Artificial Light";0.0
"Clear";"Highway";"Afternoon";"0.0";50.0;5.0;0.0;"Moderate";"Dry";"Car";24.0;18.0;"Daylight";0.0
"Clear";"Mountain Road";"Afternoon";"0.0";50.0;4.0;1.0;"Moderate";"Dry";"Motorcycle";66.0;59.0;"Artificial Light";0.0
"Foggy";"City Road";"Morning";"0";60.0;1.0;0.0;"Moderate";"Wet";"Car";46.0;41.0;"Daylight";0.0
"Rainy";"Highway";"Afternoon";"0.0";60.0;4.0;0.0;"Low";"Under Construction";"Car";65.0;60.0;"Daylight";0.0
"Rainy";"Highway";"Unknown";"0.0";60.0;3.0;0.0;"Low";"Dry";"Car";63.0;61.0;"Daylight";0.0
"Snowy";"Highway";"Afternoon";"1.0";60.0;5.0;0.0;"Low";"Dry";"Truck";61.0;60.0;"Artificial Light";0.0
"Clear";"Highway";"Evening";"2.0";60.0;1.0;0.0;"Moderate";"Wet";"Truck";50.0;45.0;"Artificial Light";0.0
"Clear";"Rural Road";"Afternoon";"2.0";80.0;5.0;0.0;"Low";"Wet";"Car";42.0;36.0;"Artificial Light";1.0
"Clear";"Highway";"Afternoon";"1.0";80.0;3.0;0.0;"Low";"Dry";"Car";24.0;24.0;"Daylight";0.0
"Stormy";"Highway";"Morning";"1.0";50.0;2.0;0.0;"Low";"Dry";"Unknown";23.0;14.0;"Daylight";0.0
"Clear";"Highway";"Morning";"1.0";100.0;5.0;0.0;"Low";"Icy";"Unknown";21.0;21.0;"Artificial Light";0.0
"Snowy";"Highway";"Morning";"2.0";60.0;4.0;0.0;"Low";"Wet";"Car";50.0;43.0;"Daylight";1.0
"Rainy";"City Road";"Morning";"0.0";50.0;3.0;0.0;"High";"Icy";"Motorcycle";58.0;49.0;"Artificial Light";0.0
"Rainy";"Rural Road";"Evening";"0.0";120.0;5.0;1.0;"Moderate";"Wet";"Car";38.0;30.0;"Artificial Light";0.0
"Foggy";"Highway";"Afternoon";"0";50.0;4.0;1.0;"Moderate";"Dry";"Car";43.0;41.0;"Unknown";0.0
"Foggy";"City Road";"Afternoon";"2.0";50.0;5.0;0.0;"High";"Wet";"Car";26.0;17.0;"Artificial Light";0.0
"Clear";"City Road";"Evening";"1.0";120.0;4.0;0.0;"Low";"Dry";"Car";38.0;37.0;"Artificial Light";1.0
